run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,StageTemperatureSum,comment
1,True,fixed,fixed,WW_sfix_hauto,sim_calibration.json,crop_calibration.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,2001-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,historic test for calibration
2,True,fixed,fixed,WR_sfix_hauto,sim_calibration.json,crop_calibration.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,2001-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,historic test for calibration
3,True,fixed,fixed,SB_sfix_hauto,sim_calibration.json,crop_calibration.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,2001-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,historic test for calibration
4,True,fixed,fixed,WRa_sfix_hauto,sim_calibration.json,crop_calibration.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,2001-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,historic test for calibration
5,True,fixed,fixed,SM_sfix_hauto,sim_calibration.json,crop_calibration.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,2001-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,historic test for calibration
6,True,fixed,fixed,SU_sfix_hauto,sim_calibration.json,crop_calibration.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,2001-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,historic test for calibration
7,True,fixed,fixed,OA_sfix_hauto,sim_calibration.json,crop_calibration.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,2001-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,historic test for calibration
8,True,fixed,fixed,SW_sfix_hauto,sim_calibration.json,crop_calibration.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,2001-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,historic test for calibration
9,True,fixed,fixed,TRI_sfix_hauto,sim_calibration.json,crop_calibration.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,2001-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,historic test for calibration
10,True,fixed,fixed,PO_sfix_hauto,sim_calibration.json,crop_calibration.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,2001-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,historic test for calibration
11,True,fixed,fixed,WB_sfix_hauto,sim_calibration.json,crop_calibration.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,2001-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,,historic test for calibration
