NUTS_id;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;region_id
CZ041;2.45;2.08;2.83;3.04;3.86;3.04;2.74;2.92;3.26;3.37;2.71;3.78;3.36;3.24;3.64;3.71;3.45;3.30;3.69;3.27;4.02;3.43;3.79;9
CZ063;3.25;3.42;2.83;3.04;3.82;2.97;2.72;2.88;3.28;3.39;2.70;3.74;3.37;3.23;3.62;3.68;3.46;3.29;3.65;3.24;4.00;3.42;3.78;10
CZ052;2.82;2.66;2.75;3.08;3.79;2.90;2.68;2.68;3.16;3.43;2.64;3.66;3.44;3.22;3.56;3.76;3.52;3.36;3.50;3.12;3.88;3.35;3.75;4
CZ051;2.67;2.25;2.73;3.00;3.87;2.91;2.67;2.71;3.16;3.30;2.64;3.64;3.38;3.20;3.56;3.59;3.52;3.24;3.62;3.21;3.94;3.40;3.75;3
CZ080;2.59;2.55;2.74;3.05;3.77;2.89;2.67;2.70;3.12;3.27;2.57;3.56;3.37;3.15;3.49;3.56;3.51;3.24;3.60;3.13;3.80;3.39;3.68;7
CZ071;2.66;3.00;2.71;3.13;3.83;2.92;2.74;2.58;3.16;3.36;2.62;3.61;3.36;3.19;3.52;3.56;3.42;3.29;3.50;3.16;3.78;3.40;3.73;8
CZ053;3.18;2.89;2.74;3.05;3.89;2.94;2.67;2.68;3.16;3.33;2.63;3.63;3.43;3.19;3.60;3.69;3.54;3.32;3.58;3.17;3.78;3.37;3.66;6
CZ032;2.70;2.79;2.77;2.94;3.98;2.94;2.65;2.77;3.16;3.25;2.64;3.62;3.42;3.19;3.66;3.65;3.58;3.16;3.58;3.16;3.99;3.38;3.72;12
CZ020;2.20;2.78;2.66;3.00;3.94;2.84;2.65;2.54;3.10;3.29;2.56;3.52;3.40;3.15;3.56;3.61;3.54;3.22;3.45;3.09;3.86;3.37;3.70;1
CZ072;2.43;2.19;2.68;3.10;3.74;2.90;2.69;2.61;3.12;3.27;2.60;3.53;3.36;3.14;3.46;3.50;3.45;3.31;3.58;3.09;3.74;3.34;3.65;13
CZ042;2.21;2.37;2.59;3.01;3.93;2.83;2.62;2.36;3.00;3.30;2.58;3.52;3.45;3.17;3.54;3.70;3.59;3.35;3.38;2.98;3.61;3.28;3.60;2
CZ064;2.12;2.98;2.67;2.93;3.89;2.91;2.69;2.28;3.12;3.23;2.76;3.40;3.13;3.02;3.44;3.53;3.45;3.07;3.25;2.96;3.79;3.16;3.42;11
CZ031;2.78;2.98;2.81;3.00;3.87;2.96;2.70;2.84;3.24;3.32;2.68;3.69;3.38;3.23;3.67;3.68;3.53;3.20;3.63;3.22;4.04;3.40;3.76;5
CZ010;2.62;2.69;2.73;3.03;3.86;2.92;2.68;2.66;3.16;3.32;2.64;3.61;3.37;3.18;3.56;3.63;3.50;3.26;3.54;3.14;3.86;3.36;3.23;14
