NUTS_id;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;region_id
CZ041;2.91;3.07;3.52;3.96;5.21;4.28;3.12;5.02;5.13;4.74;4.07;4.97;4.98;4.74;5.36;5.28;5.09;5.30;4.96;5.39;5.62;5.36;5.71;9
CZ063;4.01;4.08;3.50;3.88;5.24;4.28;3.21;4.93;5.02;4.68;4.05;4.96;4.92;4.78;5.18;5.08;5.04;5.26;4.87;5.28;5.65;5.30;5.7;10
CZ052;3.26;3.61;3.34;3.88;5.30;4.21;3.27;4.77;4.93;4.68;4.03;4.68;4.95;4.62;5.29;5.10;5.05;5.00;4.78;5.13;5.58;5.12;5.42;4
CZ051;3.45;3.22;3.45;3.84;5.33;4.27;3.49;4.73;4.88;4.71;4.07;4.96;4.92;4.69;5.07;5.01;4.93;4.93;4.75;5.18;5.61;5.08;5.45;3
CZ080;3.30;3.01;3.47;3.87;5.14;4.12;3.15;4.38;4.41;4.30;3.60;4.51;4.74;4.73;4.96;4.78;4.77;4.95;4.79;5.10;5.32;5.11;5.28;7
CZ071;3.34;3.28;3.39;3.88;5.34;4.13;3.20;4.86;4.96;4.71;3.96;4.86;4.91;4.84;5.35;5.18;5.24;5.34;4.87;5.32;5.59;5.24;5.62;8
CZ053;3.37;3.56;3.43;3.83;5.24;4.18;3.24;4.75;4.87;4.52;3.98;4.70;4.82;4.64;5.31;5.21;5.15;4.97;4.82;5.13;5.48;5.07;5.09;6
CZ032;3.19;3.59;3.47;3.71;5.40;4.31;3.46;4.88;4.87;4.72;4.09;4.94;4.92;4.60;4.95;4.68;4.70;4.83;4.82;5.08;5.58;5.06;5.32;12
CZ020;3.15;3.80;3.18;3.76;5.36;4.12;3.46;4.66;4.76;4.65;3.79;4.62;4.86;4.65;5.29;4.81;5.07;4.93;4.71;5.03;5.46;4.88;5.19;1
CZ072;2.91;2.22;3.40;3.84;5.12;3.99;3.20;4.43;4.47;4.43;3.56;3.83;4.56;4.84;4.69;4.85;5.00;4.59;4.67;4.45;5.00;4.59;4.51;13
CZ042;2.59;3.30;2.87;3.74;5.30;3.93;3.45;4.45;4.57;4.36;3.72;3.82;4.66;4.51;4.97;4.93;4.87;4.45;4.65;4.08;5.16;4.51;4.63;2
CZ064;3.11;3.94;3.01;3.44;5.11;4.11;3.45;4.08;4.39;4.34;3.44;4.40;3.94;4.80;4.64;4.40;4.78;4.04;4.24;4.31;5.06;4.50;4.41;11
CZ031;3.51;3.76;3.49;3.83;5.30;4.30;3.26;4.88;5.00;4.73;4.00;4.93;4.90;4.74;5.16;4.95;5.02;5.03;4.81;5.23;5.63;5.22;5.65;5
CZ010;3.24;3.42;3.35;3.80;5.26;4.17;3.30;4.68;4.79;4.58;3.87;4.63;4.78;4.71;5.09;4.94;4.98;4.89;4.75;4.98;5.44;5.00;4.5;14
