NUTS_id;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;region_id
CZ041;30.50;26.87;33.20;26.64;29.69;33.52;31.85;34.74;34.66;37.25;33.05;41.99;40.48;30.14;39.40;27.13;38.91;33.86;28.92;34.62;38.40;37.79;35.78;9
CZ063;35.47;33.23;33.63;27.45;29.64;34.28;32.65;34.63;35.05;36.89;32.47;41.78;40.78;30.31;39.02;27.55;39.77;34.81;29.99;34.96;37.98;37.97;36.62;10
CZ052;35.48;36.81;31.87;27.61;30.76;35.15;32.56;35.08;35.77;39.90;33.13;41.73;41.75;34.19;40.94;30.63;41.40;37.13;30.29;35.23;38.67;39.29;35.87;4
CZ051;31.01;30.01;33.11;27.14;29.67;33.47;32.11;35.04;34.99;37.41;32.45;41.59;40.88;31.00;39.29;28.11;40.06;34.83;29.76;34.54;37.30;37.85;36.10;3
CZ080;36.37;34.23;32.50;29.29;30.48;36.71;33.18;34.67;35.71;38.63;32.91;42.33;41.26;33.18;41.62;29.45;41.01;35.29;29.70;35.06;37.86;38.54;35.64;7
CZ071;36.23;38.81;32.41;29.27;31.31;36.72;33.36;34.95;38.28;40.44;33.97;43.85;43.52;39.16;44.63;33.50;43.40;38.17;31.06;38.88;43.26;42.24;37.97;8
CZ053;37.24;39.51;32.24;27.98;30.33;35.11;32.80;34.99;35.77;38.73;33.23;42.28;41.53;32.68;41.24;29.24;40.82;35.57;30.10;35.61;38.92;38.90;36.21;6
CZ032;32.90;29.65;32.73;26.77;29.96;33.73;32.36;34.70;34.53;37.52;33.32;42.16;40.67;30.36;39.55;27.45;39.54;33.96;29.26;34.70;37.85;37.66;35.36;12
CZ020;28.74;29.78;45.18;27.57;30.55;36.18;32.94;34.71;35.49;39.03;33.47;42.35;41.30;33.79;40.79;30.15;40.88;35.89;29.82;35.57;39.35;39.43;36.06;1
CZ072;33.47;33.20;31.71;29.00;30.15;39.59;32.76;34.11;36.23;39.27;33.06;41.49;40.90;36.07;42.82;31.76;42.47;36.54;30.38;36.47;40.68;40.21;35.95;13
CZ042;26.37;24.46;31.35;27.82;31.05;35.55;32.79;35.22;36.50;41.09;33.39;41.91;42.16;36.27;42.09;32.55;42.41;38.66;30.38;35.21;39.57;39.98;35.75;2
CZ064;27.34;30.06;29.63;24.69;31.47;44.86;31.99;30.61;34.10;37.71;32.63;37.54;34.46;33.78;38.83;28.61;42.25;29.58;28.77;35.77;41.09;39.23;33.38;11
CZ031;36.68;34.67;33.54;27.78;29.49;34.52;32.55;34.62;34.77;36.90;32.74;41.88;40.44;30.24;39.13;27.34;39.43;34.45;29.68;34.86;38.11;37.87;36.23;5
CZ010;32.91;32.41;33.32;27.62;30.35;36.11;32.61;34.47;35.53;38.52;33.06;41.76;40.78;33.17;40.72;29.50;40.95;35.29;29.85;35.50;39.16;39.00;35.92;14
