NUTS_ID,NUTS_NAME,region_id,_count,weight
CZ010,Hlavní město Praha,"14",167,0.006
CZ020,Středočeský kraj,"1",8637,0.194
CZ042,Ústecký kraj,"2",3767,0.057
CZ051,Liberecký kraj,"3",565,0.008
CZ052,Královéhradecký kraj,"4",2995,0.042
CZ031,Jihočeský kraj,"5",4315,0.082
CZ053,Pardubický kraj,"6",2754,0.076
CZ080,Moravskoslezský kraj,"7",1932,0.057
CZ071,Olomoucký kraj,"8",2537,0.139
CZ041,Karlovarský kraj,"9",748,0.012
CZ063,Kraj Vysočina,"10",4580,0.133
CZ064,Jihomoravský kraj,"11",5791,0.107
CZ032,Plzeňský kraj,"12",4058,0.047
CZ072,Zlínský kraj,"13",1517,0.040
