NUTS_id;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;region_id
CZ041;2.36;2.65;2.28;1.37;3.41;2.80;2.84;3.01;2.78;3.09;2.87;2.73;2.88;3.36;3.89;3.37;3.30;2.88;3.52;3.07;3.53;2.97;3.40;9
CZ063;2.78;3.00;2.26;1.38;3.39;2.78;2.82;3.00;2.76;3.08;2.83;2.73;2.90;3.37;3.89;3.37;3.29;2.90;3.50;3.04;3.52;2.95;3.40;10
CZ052;2.70;3.09;2.28;1.76;3.79;2.97;3.10;3.10;3.03;3.25;2.80;2.82;2.77;3.48;4.00;3.53;3.51;2.99;3.37;3.01;3.30;3.01;3.39;4
CZ051;2.53;2.81;2.26;1.51;3.55;2.85;2.96;3.03;2.87;3.13;2.81;2.71;2.79;3.40;3.90;3.40;3.38;2.89;3.44;3.05;3.41;2.97;3.35;3
CZ080;2.83;2.56;2.27;1.54;3.63;2.88;3.01;3.05;2.93;3.15;2.77;2.73;2.74;3.40;3.89;3.38;3.44;2.87;3.39;3.05;3.35;2.99;3.35;7
CZ071;2.96;2.73;2.31;1.75;3.83;3.01;3.18;3.14;3.10;3.32;2.81;2.95;2.86;3.55;4.04;3.53;3.57;3.01;3.43;3.10;3.35;3.12;3.52;8
CZ053;2.88;2.90;2.30;1.59;3.63;2.91;3.02;3.07;2.94;3.21;2.83;2.80;2.82;3.44;3.96;3.46;3.45;2.92;3.45;3.07;3.41;3.02;3.42;6
CZ032;2.58;2.79;2.29;1.42;3.48;2.82;2.93;3.03;2.83;3.12;2.86;2.70;2.79;3.36;3.88;3.36;3.36;2.84;3.49;3.10;3.48;2.97;3.34;12
CZ020;2.37;2.88;2.29;1.66;3.73;2.95;3.10;3.09;3.01;3.24;2.82;2.84;2.80;3.48;3.98;3.48;3.50;2.96;3.42;3.06;3.36;3.04;3.42;1
CZ072;2.96;2.43;2.28;1.70;3.78;2.93;3.15;3.09;3.08;3.26;2.81;2.92;2.75;3.53;4.03;3.50;3.59;2.96;3.37;3.03;3.29;3.03;3.41;13
CZ042;1.91;2.56;2.28;1.75;3.79;2.99;3.16;3.11;3.09;3.29;2.78;2.86;2.74;3.51;4.02;3.54;3.56;3.00;3.35;3.01;3.28;3.03;3.38;2
CZ064;2.38;2.62;2.16;1.45;3.62;2.85;3.15;3.02;3.08;3.14;2.83;2.87;2.28;3.49;3.93;3.29;3.61;2.69;3.32;2.97;3.21;2.85;3.28;11
CZ031;2.77;3.07;2.26;1.37;3.40;2.78;2.85;3.00;2.77;3.08;2.86;2.73;2.88;3.37;3.88;3.37;3.30;2.87;3.50;3.06;3.53;2.95;3.37;5
CZ010;2.62;3.10;2.30;1.70;3.80;2.80;3.40;2.90;3.20;3.53;2.87;3.07;3.02;3.36;4.28;3.81;3.76;3.18;3.43;3.31;3.64;3.42;3.00;14
