NUTS_id;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;region_id
CZ041;2.56;2.74;3.36;3.68;4.5;3.77;3.22;3.51;4.08;3.71;3.47;4.66;4.33;4.33;5.3;4.8;4.99;4.65;4.45;4.86;5.09;4.58;5.27;9
CZ063;3.32;3.83;3.38;3.67;4.46;3.8;3.21;3.47;4.09;3.71;3.47;4.67;4.32;4.33;5.29;4.8;4.99;4.66;5.03;4.87;5.09;4.6;5.27;10
CZ052;3.06;3.77;3.82;4.02;5;4.24;3.66;3.48;4.71;4.33;4;4.93;4.36;4.64;5.65;5.62;5.54;5.07;4.92;5.1;5.09;5.12;5.29;4
CZ051;2.68;2.92;3.45;3.75;4.61;3.87;3.33;3.3;4.21;3.87;3.56;4.6;4.23;4.29;5.27;4.99;5.09;4.75;4.91;4.91;4.96;4.7;5.18;3
CZ080;3.26;3.31;3.65;3.84;4.85;4.09;3.51;3.39;4.51;4.17;3.84;4.84;4.32;4.5;5.47;5.35;5.34;4.91;4.89;5.04;5.04;4.95;5.22;7
CZ071;3.69;4.57;4.13;4.27;5.33;4.6;4;3.79;5.22;4.76;4.36;5.37;4.59;5.02;6.02;6.03;5.85;5.34;5.01;5.22;5.29;5.54;5.53;8
CZ053;3.26;3.73;3.6;3.81;4.8;4.03;3.41;3.47;4.42;4.04;3.7;4.81;4.37;4.48;5.48;5.22;5.32;4.88;5.02;5.08;5.11;4.92;5.32;6
CZ032;2.83;2.82;3.37;3.59;4.61;3.78;3.21;3.3;4.11;3.8;3.5;4.64;4.28;4.28;5.29;4.93;5.08;4.64;4.44;5.04;5.06;4.63;5.22;12
CZ020;2.94;3.71;3.86;4.04;5.12;4.31;3.75;3.5;4.88;4.48;4.11;5.06;4.41;4.72;5.73;5.75;5.66;5.15;4.94;5.17;5.15;5.27;5.34;1
CZ072;3.17;3.92;4.08;4.13;5.16;4.4;3.85;3.52;5.07;4.64;4.4;5.37;4.44;4.98;5.89;5.97;5.84;5.29;4.89;5.19;5.23;5.53;5.44;13
CZ042;2.75;3.41;3.92;4.06;5.18;4.37;3.88;3.46;4.94;4.58;4.18;5.06;4.38;4.75;5.76;5.91;5.75;5.26;4.86;5.17;5.09;5.36;5.3;2
CZ064;2.47;4.29;3.89;3.9;4.99;4.23;3.59;3.13;4.79;4.17;3.96;4.93;3.75;4.61;5.24;5.34;5.42;4.77;4.65;4.97;5.15;5.25;5.16;11
CZ031;3.08;3.23;3.34;3.64;4.5;3.76;3.18;3.4;4.06;3.72;3.46;4.65;4.3;4.31;5.28;4.82;4.99;4.62;5.02;4.91;5.11;4.58;5.21;5
CZ010;3.18;4.5;3.77;4.4;6;5.3;4.8;3;5.5;5.57;5.63;5.29;4.87;5.65;5.97;6.42;6.25;5.47;4.22;5.57;5.84;5.86;4.77;14
