run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,species_param_name,cultivar_param_name,param_value,param_index_in_array,coeff
1,True,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1,110_373_252_182_650_24,historic_runs,,,,,,
2,True,fixed,auto,WW_sfix_hauto,sim.json,crop_CZ020.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.9,110_373_252_182_650_24,historic_runs,CZ020,,,,,
3,True,fixed,auto,WW_sfix_hauto,sim.json,crop_CZ042.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1,110_373_252_182_650_24,historic_runs,CZ042,,,,,
4,True,fixed,auto,WW_sfix_hauto,sim.json,crop_CZ051.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.8,110_373_252_182_650_24,historic_runs,CZ051,,,,,
5,True,fixed,auto,WW_sfix_hauto,sim.json,crop_CZ052.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.8,110_373_252_182_650_24,historic_runs,CZ052,,,,,
6,True,fixed,auto,WW_sfix_hauto,sim.json,crop_CZ031.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.9,110_373_252_182_650_24,historic_runs,CZ031,,,,,
7,True,fixed,auto,WW_sfix_hauto,sim.json,crop_CZ053.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.9,110_373_252_182_650_24,historic_runs,CZ053,,,,,
8,True,fixed,auto,WW_sfix_hauto,sim.json,crop_CZ080.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.8,110_373_252_182_650_24,historic_runs,CZ080,,,,,
9,True,fixed,auto,WW_sfix_hauto,sim.json,crop_CZ071.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1,110_373_252_182_650_24,historic_runs,CZ071,,,,,
10,True,fixed,auto,WW_sfix_hauto,sim.json,crop_CZ041.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.8,110_373_252_182_650_24,historic_runs,CZ041,,,,,
11,True,fixed,auto,WW_sfix_hauto,sim.json,crop_CZ063.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.8,110_373_252_182_650_24,historic_runs,CZ063,,,,,
12,True,fixed,auto,WW_sfix_hauto,sim.json,crop_CZ064.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1,110_373_252_182_650_24,historic_runs,CZ064,,,,,
13,True,fixed,auto,WW_sfix_hauto,sim.json,crop_CZ032.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.9,110_373_252_182_650_24,historic_runs,CZ032,,,,,
14,True,fixed,auto,WW_sfix_hauto,sim.json,crop_CZ072.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.9,110_373_252_182_650_24,historic_runs,CZ072,,,,,
15,True,fixed,auto,WW_sfix_hauto,sim.json,crop_CZ010.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1,110_373_252_182_650_24,historic_runs,CZ010,,,,,
16,True,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,False,,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2000-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1,110_373_252_182_650_24,historic_runs,,,,,,
