name,position in array,low,high,step,optguess,minbound,maxbound,derived params
SpecificLeafArea,,0.5,1.5,,,,,
CropSpecificMaxRootingDepth,,0.8,2.0,,,,,
MaxAssimilationRate,,80,100,,,,,
FieldConditionModifier,,0.5,1,,,,,
